Pallet,Origen,Código HU,Estado,F1,F1 msg,F2,F2 msg,F2 ms,Agregada,Procesada
P01,Tailandia,TH0000268554,Ya procesado,ZMOVEINBHU,Ya se hizo el Acknowledge,ZMMTIJSEP,OK,1535,03/04/2026 13:46:36,03/04/2026 13:46:54
P01,Tailandia,TH0000268545,Ya procesado,ZMOVEINBHU,Ya se hizo el Acknowledge,ZMMTIJSEP,OK,1491,03/04/2026 13:47:50,03/04/2026 13:48:06
P02,"ATL,",C1016431146,Ya procesado,ZMOVEINBHU,Ya se hizo el Acknowledge,ZMMTIJSEP,OK,3484,03/04/2026 13:48:58,03/04/2026 13:49:27
P02,"ATL,",C1016347580,Ya procesado,ZMOVEINBHU,Ya se hizo el Acknowledge,ZMMTIJSEP,OK,7870,03/04/2026 13:49:04,03/04/2026 13:49:42
P02,"ATL,",C1016451838,Ya procesado,ZMOVEINBHU,Ya se hizo el Acknowledge,ZMMTIJSEP,OK,7919,03/04/2026 13:49:07,03/04/2026 13:49:57
