Pallet,Origen,Código HU,Estado,F1,F1 msg,F2,F2 msg,F2 ms,Agregada,Procesada
P01,China,T10045830655,OK,ZMOVEINBHU,OK,ZMMTIJSEP,OK,1168,01/04/2026 11:49:13,01/04/2026 11:49:31
P01,China,T10045836507,OK,ZMOVEINBHU,OK,ZMMTIJSEP,OK,6062,01/04/2026 11:49:17,01/04/2026 11:49:47
P01,China,T10045863024,OK,ZMOVEINBHU,OK,ZMMTIJSEP,OK,6247,01/04/2026 11:49:19,01/04/2026 11:50:04
P01,China,T10045830241,OK,ZMOVEINBHU,OK,ZMMTIJSEP,OK,6219,01/04/2026 11:49:20,01/04/2026 11:50:20
P01,China,T10045864895,OK,ZMOVEINBHU,OK,ZMMTIJSEP,OK,6084,01/04/2026 11:49:24,01/04/2026 11:50:36
P01,China,T10045830244,OK,ZMOVEINBHU,OK,ZMMTIJSEP,OK,6241,01/04/2026 11:49:27,01/04/2026 11:50:52
P02,China,T10045853657,OK,ZMOVEINBHU,OK,ZMMTIJSEP,OK,1001,01/04/2026 11:49:49,01/04/2026 11:57:40
P02,China,T10045869361,OK,ZMOVEINBHU,OK,ZMMTIJSEP,OK,6188,01/04/2026 11:49:51,01/04/2026 11:57:55
P02,China,T10045831753,OK,ZMOVEINBHU,OK,ZMMTIJSEP,OK,6124,01/04/2026 11:50:12,01/04/2026 11:58:11
P02,China,T10045865333,OK,ZMOVEINBHU,OK,ZMMTIJSEP,OK,6230,01/04/2026 11:50:28,01/04/2026 11:58:26
P02,China,T10045831750,OK,ZMOVEINBHU,OK,ZMMTIJSEP,OK,6175,01/04/2026 11:56:54,01/04/2026 11:58:41
P02,China,T10045853656,OK,ZMOVEINBHU,OK,ZMMTIJSEP,OK,7164,01/04/2026 11:57:09,01/04/2026 11:58:57
P02,China,T10045865332,OK,ZMOVEINBHU,OK,ZMMTIJSEP,OK,6163,01/04/2026 11:57:10,01/04/2026 11:59:12
P02,China,T10045850681,OK,ZMOVEINBHU,OK,ZMMTIJSEP,OK,6148,01/04/2026 11:57:13,01/04/2026 11:59:27
P02,China,T10045865331,OK,ZMOVEINBHU,OK,ZMMTIJSEP,OK,6077,01/04/2026 11:57:18,01/04/2026 11:59:43
P02,China,T10045853655,OK,ZMOVEINBHU,OK,ZMMTIJSEP,OK,6139,01/04/2026 11:57:28,01/04/2026 11:59:58
P02,China,T10045865334,OK,ZMOVEINBHU,OK,ZMMTIJSEP,OK,7111,01/04/2026 11:57:31,01/04/2026 12:00:14
P02,China,T10045869362,OK,ZMOVEINBHU,OK,ZMMTIJSEP,OK,6133,01/04/2026 11:57:32,01/04/2026 12:00:29
P02,China,T10045831760,OK,ZMOVEINBHU,OK,ZMMTIJSEP,OK,6274,01/04/2026 11:57:34,01/04/2026 12:00:45
P02,China,T10045831742,OK,ZMOVEINBHU,OK,ZMMTIJSEP,OK,6180,01/04/2026 11:57:35,01/04/2026 12:01:00
P03,China,T10045839880,OK,ZMOVEINBHU,OK,ZMMTIJSEP,OK,1002,01/04/2026 11:57:55,01/04/2026 12:03:16
P03,China,T10045869347,OK,ZMOVEINBHU,OK,ZMMTIJSEP,OK,6170,01/04/2026 11:57:57,01/04/2026 12:03:31
P03,China,T10045839879,OK,ZMOVEINBHU,OK,ZMMTIJSEP,OK,6392,01/04/2026 11:57:59,01/04/2026 12:03:47
P03,China,T10045856600,OK,ZMOVEINBHU,OK,ZMMTIJSEP,OK,6329,01/04/2026 11:58:04,01/04/2026 12:04:02
P03,China,T10045837392,OK,ZMOVEINBHU,OK,ZMMTIJSEP,OK,6197,01/04/2026 11:58:05,01/04/2026 12:04:18
P03,China,T10045839881,OK,ZMOVEINBHU,OK,ZMMTIJSEP,OK,6314,01/04/2026 11:58:08,01/04/2026 12:04:34
P03,China,T10045865354,OK,ZMOVEINBHU,OK,ZMMTIJSEP,OK,6224,01/04/2026 11:58:12,01/04/2026 12:04:49
P04,China,T10045830219,OK,ZMOVEINBHU,OK,ZMMTIJSEP,OK,1021,01/04/2026 11:58:26,01/04/2026 12:05:42
P04,China,T10045863022,OK,ZMOVEINBHU,OK,ZMMTIJSEP,OK,6400,01/04/2026 11:58:28,01/04/2026 12:05:58
P04,China,T10045864809,OK,ZMOVEINBHU,OK,ZMMTIJSEP,OK,6480,01/04/2026 11:58:30,01/04/2026 12:06:15
P04,China,T10045864896,OK,ZMOVEINBHU,OK,ZMMTIJSEP,OK,6302,01/04/2026 11:58:33,01/04/2026 12:06:32
P04,China,T10045856660,OK,ZMOVEINBHU,OK,ZMMTIJSEP,OK,6247,01/04/2026 11:58:36,01/04/2026 12:06:47
P04,China,T10045836513,OK,ZMOVEINBHU,OK,ZMMTIJSEP,OK,6288,01/04/2026 11:58:38,01/04/2026 12:07:03
P04,China,T10045836490,OK,ZMOVEINBHU,OK,ZMMTIJSEP,OK,6165,01/04/2026 11:58:40,01/04/2026 12:07:19
P04,China,T10045863179,OK,ZMOVEINBHU,OK,ZMMTIJSEP,OK,6222,01/04/2026 11:58:44,01/04/2026 12:07:35
