Pallet,Origen,Código HU,Estado,F1,F1 msg,F2,F2 msg,F2 ms,Agregada,Procesada
P01,Italia,2972626631,OK,ZMOVEINBHU,Packaging data was saved. Material document 7578178175 was created,ZMMTIJSEP,OK,2577,10/04/2026 15:21:56,10/04/2026 15:22:24
P02,Italia,2972626682,OK,ZMOVEINBHU,Packaging data was saved. Material document 7578178203 was created,ZMMTIJSEP,OK,9145,10/04/2026 15:21:58,10/04/2026 15:22:55
P03,Italia,2972627036,OK,ZMOVEINBHU,Packaging data was saved. Material document 7578178222 was created,ZMMTIJSEP,OK,8864,10/04/2026 15:22:11,10/04/2026 15:23:19
P04,Italia,2972626630,OK,ZMOVEINBHU,Packaging data was saved. Material document 7578178930 was created,ZMMTIJSEP,OK,8908,10/04/2026 15:22:11,10/04/2026 15:23:43
P05,Italia,2972626627,OK,ZMOVEINBHU,Packaging data was saved. Material document 7578178950 was created,ZMMTIJSEP,OK,8928,10/04/2026 15:22:19,10/04/2026 15:24:06
P06,Italia,2972626647,Ya procesado,ZMOVEINBHU,Ya se hizo el Acknowledge,ZMMTIJSEP,OK,8393,10/04/2026 15:22:21,10/04/2026 15:24:25
P07,Italia,2972626683,OK,ZMOVEINBHU,Packaging data was saved. Material document 7578179004 was created,ZMMTIJSEP,OK,8960,10/04/2026 15:22:25,10/04/2026 15:24:48
P08,Italia,2972648830,OK,ZMOVEINBHU,Packaging data was saved. Material document 7578179635 was created,ZMMTIJSEP,OK,8869,10/04/2026 15:22:43,10/04/2026 15:25:09
P09,Italia,2972651349,OK,ZMOVEINBHU,Packaging data was saved. Material document 7578179646 was created,ZMMTIJSEP,OK,8820,10/04/2026 15:22:46,10/04/2026 15:25:31
P10,Italia,2972626638,OK,ZMOVEINBHU,Packaging data was saved. Material document 7578179653 was created,ZMMTIJSEP,OK,8846,10/04/2026 15:22:53,10/04/2026 15:25:51
P11,Italia,2972626636,OK,ZMOVEINBHU,Packaging data was saved. Material document 7578179662 was created,ZMMTIJSEP,OK,8790,10/04/2026 15:22:53,10/04/2026 15:26:12
P12,Italia,2972626637,OK,ZMOVEINBHU,Packaging data was saved. Material document 7578179677 was created,ZMMTIJSEP,OK,8973,10/04/2026 15:22:55,10/04/2026 15:26:32
P13,Italia,2972626649,OK,ZMOVEINBHU,Packaging data was saved. Material document 7578179685 was created,ZMMTIJSEP,OK,8733,10/04/2026 15:23:10,10/04/2026 15:26:53
P14,Italia,2972626635,OK,ZMOVEINBHU,Packaging data was saved. Material document 7578179693 was created,ZMMTIJSEP,OK,8804,10/04/2026 15:23:14,10/04/2026 15:27:15
P15,Italia,2972651309,OK,ZMOVEINBHU,Packaging data was saved. Material document 7578179711 was created,ZMMTIJSEP,OK,8891,10/04/2026 15:23:17,10/04/2026 15:27:35
P16,Tailandia,TH0000296435,OK,ZMOVEINBHU,Packaging data was saved. Material document 7578179728 was created,ZMMTIJSEP,OK,3177,10/04/2026 15:24:27,10/04/2026 15:27:42
P16,Tailandia,TH0000296460,OK,ZMOVEINBHU,Packaging data was saved. Material document 7578180539 was created,ZMMTIJSEP,OK,3191,10/04/2026 15:24:28,10/04/2026 15:27:50
P16,Tailandia,TH0000296532,OK,ZMOVEINBHU,Packaging data was saved. Material document 7578180551 was created,ZMMTIJSEP,OK,3211,10/04/2026 15:24:36,10/04/2026 15:27:58
P16,Tailandia,TH0000296434,OK,ZMOVEINBHU,Packaging data was saved. Material document 7578180557 was created,ZMMTIJSEP,OK,3156,10/04/2026 15:25:07,10/04/2026 15:28:06
P17,Tailandia,TH0000296210,OK,ZMOVEINBHU,Packaging data was saved. Material document 7578180616 was created,ZMMTIJSEP,OK,1380,10/04/2026 15:25:19,10/04/2026 15:28:55
P18,Tailandia,TH0000296505,OK,ZMOVEINBHU,Packaging data was saved. Material document 7578180622 was created,ZMMTIJSEP,OK,3124,10/04/2026 15:25:26,10/04/2026 15:29:02
P18,Tailandia,TH0000296461,OK,ZMOVEINBHU,Packaging data was saved. Material document 7578180934 was created,ZMMTIJSEP,OK,3228,10/04/2026 15:25:28,10/04/2026 15:29:10
P19,Tailandia,TH0000296283,OK,ZMOVEINBHU,Packaging data was saved. Material document 7578182368 was created,ZMMTIJSEP,OK,1295,10/04/2026 15:25:40,10/04/2026 15:33:59
P19,Tailandia,TH0000296250,OK,ZMOVEINBHU,Packaging data was saved. Material document 7578182376 was created,ZMMTIJSEP,OK,3261,10/04/2026 15:25:53,10/04/2026 15:34:07
P19,Tailandia,TH0000296205,OK,ZMOVEINBHU,Packaging data was saved. Material document 7578182385 was created,ZMMTIJSEP,OK,3417,10/04/2026 15:26:01,10/04/2026 15:34:15
P19,Tailandia,TH0000296258,OK,ZMOVEINBHU,Packaging data was saved. Material document 7578182402 was created,ZMMTIJSEP,OK,3311,10/04/2026 15:26:09,10/04/2026 15:34:23
P19,Tailandia,TH0000296285,OK,ZMOVEINBHU,Packaging data was saved. Material document 7578182405 was created,ZMMTIJSEP,OK,3359,10/04/2026 15:26:24,10/04/2026 15:34:31
P19,Tailandia,TH0000296212,OK,ZMOVEINBHU,Packaging data was saved. Material document 7578182409 was created,ZMMTIJSEP,OK,3411,10/04/2026 15:26:27,10/04/2026 15:34:39
P19,Tailandia,TH0000296214,OK,ZMOVEINBHU,Packaging data was saved. Material document 7578182414 was created,ZMMTIJSEP,OK,3338,10/04/2026 15:26:38,10/04/2026 15:34:47
P20,"ATL,",C1016431149,OK,ZMOVEINBHU,Packaging data was saved. Material document 7578183046 was created,ZMMTIJSEP,OK,2403,10/04/2026 15:26:48,10/04/2026 15:35:46
P20,"ATL,",C1016431150,OK,ZMOVEINBHU,Packaging data was saved. Material document 7578183061 was created,ZMMTIJSEP,OK,8919,10/04/2026 15:26:51,10/04/2026 15:36:06
P20,"ATL,",C1016431180,OK,ZMOVEINBHU,Packaging data was saved. Material document 7578183072 was created,ZMMTIJSEP,OK,8842,10/04/2026 15:26:55,10/04/2026 15:36:26
P20,"ATL,",C1016431155,OK,ZMOVEINBHU,Packaging data was saved. Material document 7578183084 was created,ZMMTIJSEP,OK,8789,10/04/2026 15:26:57,10/04/2026 15:36:46
P20,"ATL,",C1016347463,OK,ZMOVEINBHU,Packaging data was saved. Material document 7578183097 was created,ZMMTIJSEP,OK,8750,10/04/2026 15:26:58,10/04/2026 15:37:07
P20,"ATL,",C1016431162,OK,ZMOVEINBHU,Packaging data was saved. Material document 7578183120 was created,ZMMTIJSEP,OK,8615,10/04/2026 15:27:02,10/04/2026 15:37:27
P20,"ATL,",C1016431187,OK,ZMOVEINBHU,Packaging data was saved. Material document 7578183936 was created,ZMMTIJSEP,OK,8570,10/04/2026 15:27:13,10/04/2026 15:37:46
P20,"ATL,",C1016347461,OK,ZMOVEINBHU,Packaging data was saved. Material document 7578183949 was created,ZMMTIJSEP,OK,9186,10/04/2026 15:27:46,10/04/2026 15:38:07
P20,"ATL,",C1016451898,OK,ZMOVEINBHU,Packaging data was saved. Material document 7578183962 was created,ZMMTIJSEP,OK,8686,10/04/2026 15:28:06,10/04/2026 15:38:27
P20,"ATL,",C1016451913,OK,ZMOVEINBHU,Packaging data was saved. Material document 7578183986 was created,ZMMTIJSEP,OK,8780,10/04/2026 15:28:13,10/04/2026 15:38:54
P21,Italia,2972651715,OK,ZMOVEINBHU,Packaging data was saved. Material document 7578194373 was created,ZMMTIJSEP,OK,2732,10/04/2026 16:01:09,10/04/2026 16:03:02
P22,Italia,2972627039,OK,ZMOVEINBHU,Packaging data was saved. Material document 7578194416 was created,ZMMTIJSEP,OK,8724,10/04/2026 16:01:15,10/04/2026 16:03:24
P23,"ATL,",C1016431078,OK,ZMOVEINBHU,Packaging data was saved. Material document 7578194654 was created,ZMMTIJSEP,OK,8845,10/04/2026 16:02:04,10/04/2026 16:03:44
P23,"ATL,",C1016431041,Ya procesado,ZMOVEINBHU,Ya se hizo el Acknowledge,ZMMTIJSEP,OK,2038,10/04/2026 16:04:57,10/04/2026 16:05:25
