Pallet,Origen,Código HU,Estado,F1,F1 msg,F2,F2 msg,F2 ms,Agregada,Procesada
P01,Tailandia,TH0000295037,OK,ZMOVEINBHU,Packaging data was saved. Material document 7589675468 was created,ZMMTIJSEP,OK,1882,23/04/2026 08:10:14,23/04/2026 08:13:07
P01,Tailandia,TH0000294884,OK,ZMOVEINBHU,Packaging data was saved. Material document 7589675474 was created,ZMMTIJSEP,OK,3327,23/04/2026 08:10:23,23/04/2026 08:13:14
P01,Tailandia,TH0000295069,OK,ZMOVEINBHU,Packaging data was saved. Material document 7589675479 was created,ZMMTIJSEP,OK,3206,23/04/2026 08:10:51,23/04/2026 08:13:22
P01,Tailandia,TH0000295047,OK,ZMOVEINBHU,Packaging data was saved. Material document 7589675481 was created,ZMMTIJSEP,OK,3518,23/04/2026 08:11:40,23/04/2026 08:13:30
P01,Tailandia,TH0000294842,OK,ZMOVEINBHU,Packaging data was saved. Material document 7589675485 was created,ZMMTIJSEP,OK,3318,23/04/2026 08:11:42,23/04/2026 08:13:38
P01,Tailandia,TH0000294832,OK,ZMOVEINBHU,Packaging data was saved. Material document 7589675496 was created,ZMMTIJSEP,OK,3272,23/04/2026 08:11:58,23/04/2026 08:13:45
P01,Tailandia,TH0000295082,OK,ZMOVEINBHU,Packaging data was saved. Material document 7589675506 was created,ZMMTIJSEP,OK,3242,23/04/2026 08:12:04,23/04/2026 08:13:53
P01,Tailandia,TH0000295068,OK,ZMOVEINBHU,Packaging data was saved. Material document 7589675509 was created,ZMMTIJSEP,OK,3295,23/04/2026 08:12:42,23/04/2026 08:14:00
P02,Tailandia,TH0000294829,OK,ZMOVEINBHU,Packaging data was saved. Material document 7589675529 was created,ZMMTIJSEP,OK,3341,23/04/2026 08:13:20,23/04/2026 08:14:15
P02,Tailandia,TH0000295058,OK,ZMOVEINBHU,Packaging data was saved. Material document 7589676842 was created,ZMMTIJSEP,OK,3457,23/04/2026 08:13:25,23/04/2026 08:14:24
P02,Tailandia,TH0000295066,OK,ZMOVEINBHU,Packaging data was saved. Material document 7589676866 was created,ZMMTIJSEP,OK,3194,23/04/2026 08:13:28,23/04/2026 08:14:31
P02,Tailandia,TH0000295067,OK,ZMOVEINBHU,Packaging data was saved. Material document 7589676874 was created,ZMMTIJSEP,OK,3426,23/04/2026 08:13:55,23/04/2026 08:14:39
P02,Tailandia,TH0000294831,OK,ZMOVEINBHU,Packaging data was saved. Material document 7589676878 was created,ZMMTIJSEP,OK,3403,23/04/2026 08:14:03,23/04/2026 08:14:46
P02,Tailandia,TH0000295026,OK,ZMOVEINBHU,Packaging data was saved. Material document 7589676884 was created,ZMMTIJSEP,OK,4320,23/04/2026 08:14:04,23/04/2026 08:14:56
P02,Tailandia,TH0000294985,OK,ZMOVEINBHU,Packaging data was saved. Material document 7589676901 was created,ZMMTIJSEP,OK,3218,23/04/2026 08:14:12,23/04/2026 08:15:04
P02,Tailandia,TH0000294967,OK,ZMOVEINBHU,Packaging data was saved. Material document 7589676911 was created,ZMMTIJSEP,OK,3452,23/04/2026 08:14:56,23/04/2026 08:15:13
P03,"ATL,",C1012090296,OK,ZMOVEINBHU,Packaging data was saved. Material document 7589681902 was created,ZMMTIJSEP,OK,2350,23/04/2026 08:16:15,23/04/2026 08:20:44
P04,Tailandia,TH0000294830,OK,ZMOVEINBHU,Packaging data was saved. Material document 7589682598 was created,ZMMTIJSEP,OK,3517,23/04/2026 08:16:40,23/04/2026 08:21:13
P05,"ATL,",C1012090297,OK,ZMOVEINBHU,Ya se hizo el Acknowledge (The inserted HU does not contain positions),ZMMTIJSEP,OK,4188,23/04/2026 08:17:04,23/04/2026 08:22:02
P06,"ATL,",C1012090300,Error,ZMOVEINBHU,@5C@ The plant data of the material 0AX3016 is locked by the user FROMCTM,ZMMTIJSEP,,,23/04/2026 08:17:35,23/04/2026 08:22:17
P07,"ATL,",C1012090305,Error,ZMOVEINBHU,@5C@ The plant data of the material 0AN7194 is locked by the user FROMCTM,ZMMTIJSEP,,,23/04/2026 08:17:40,23/04/2026 08:22:21
P08,"ATL,",C1012090311,Error,ZMOVEINBHU,@5C@ The plant data of the material 0RX4378V is locked by the user FROMCTM,ZMMTIJSEP,,,23/04/2026 08:17:43,23/04/2026 08:22:25
P09,"ATL,",C1012090299,Error,ZMOVEINBHU,@5C@ The plant data of the material 0AX3016 is locked by the user FROMCTM,ZMMTIJSEP,,,23/04/2026 08:17:47,23/04/2026 08:22:29
P10,"ATL,",C1012090304,Error,ZMOVEINBHU,@5C@ The plant data of the material 0AX3053 is locked by the user FROMCTM,ZMMTIJSEP,,,23/04/2026 08:17:58,23/04/2026 08:22:33
P11,"ATL,",C1012090294,OK,ZMOVEINBHU,Packaging data was saved. Material document 7589682987 was created,ZMMTIJSEP,OK,4425,23/04/2026 08:18:02,23/04/2026 08:22:47
P12,"ATL,",C1012090295,OK,ZMOVEINBHU,Packaging data was saved. Material document 7589684081 was created,ZMMTIJSEP,OK,4658,23/04/2026 08:18:05,23/04/2026 08:23:46
P13,"ATL,",C1012090298,OK,ZMOVEINBHU,Packaging data was saved. Material document 7589684097 was created,ZMMTIJSEP,OK,4672,23/04/2026 08:18:13,23/04/2026 08:24:19
P14,"ATL,",C1012090293,OK,ZMOVEINBHU,Packaging data was saved. Material document 7589685434 was created,ZMMTIJSEP,OK,5784,23/04/2026 08:18:16,23/04/2026 08:25:15
P15,"ATL,",C1012090308,OK,ZMOVEINBHU,Packaging data was saved. Material document 7589687650 was created,ZMMTIJSEP,OK,4509,23/04/2026 08:18:20,23/04/2026 08:28:01
P16,"ATL,",C1012090289,OK,ZMOVEINBHU,Packaging data was saved. Material document 7589687701 was created,ZMMTIJSEP,OK,4537,23/04/2026 08:18:30,23/04/2026 08:28:41
P17,"ATL,",C1012090290,OK,ZMOVEINBHU,Packaging data was saved. Material document 7589688346 was created,ZMMTIJSEP,OK,4473,23/04/2026 08:18:32,23/04/2026 08:29:22
P18,"ATL,",C1012090291,OK,ZMOVEINBHU,Packaging data was saved. Material document 7589688944 was created,ZMMTIJSEP,OK,4450,23/04/2026 08:18:39,23/04/2026 08:30:07
P19,"ATL,",C1012090287,OK,ZMOVEINBHU,Packaging data was saved. Material document 7589688988 was created,ZMMTIJSEP,OK,4477,23/04/2026 08:18:41,23/04/2026 08:30:53
P20,"ATL,",C1012090307,OK,ZMOVEINBHU,Packaging data was saved. Material document 7589689958 was created,ZMMTIJSEP,OK,4561,23/04/2026 08:18:46,23/04/2026 08:31:51
P21,"ATL,",C1012090286,OK,ZMOVEINBHU,Packaging data was saved. Material document 7589690014 was created,ZMMTIJSEP,OK,5226,23/04/2026 08:18:48,23/04/2026 08:32:52
P22,"ATL,",C1012090302,OK,ZMOVEINBHU,Packaging data was saved. Material document 7589692387 was created,ZMMTIJSEP,OK,4510,23/04/2026 08:19:02,23/04/2026 08:36:20
P23,"ATL,",C1012090306,OK,ZMOVEINBHU,Packaging data was saved. Material document 7589693347 was created,ZMMTIJSEP,OK,4496,23/04/2026 08:19:04,23/04/2026 08:36:53
P24,"ATL,",C1012090301,OK,ZMOVEINBHU,Packaging data was saved. Material document 7589693380 was created,ZMMTIJSEP,OK,4476,23/04/2026 08:19:08,23/04/2026 08:37:22
P25,"ATL,",C1012090303,OK,ZMOVEINBHU,Packaging data was saved. Material document 7589693400 was created,ZMMTIJSEP,OK,4611,23/04/2026 08:19:23,23/04/2026 08:37:50
P26,"ATL,",C1012090288,OK,ZMOVEINBHU,Packaging data was saved. Material document 7589694364 was created,ZMMTIJSEP,OK,4723,23/04/2026 08:19:31,23/04/2026 08:38:32
P27,"ATL,",C1012090310,OK,ZMOVEINBHU,Packaging data was saved. Material document 7589694382 was created,ZMMTIJSEP,OK,4474,23/04/2026 08:20:15,23/04/2026 08:38:58
P28,Tailandia,TH0000294550,OK,ZMOVEINBHU,Packaging data was saved. Material document 7589694408 was created,ZMMTIJSEP,OK,3151,23/04/2026 08:20:42,23/04/2026 08:39:32
P28,Tailandia,TH0000294510,OK,ZMOVEINBHU,Packaging data was saved. Material document 7589694411 was created,ZMMTIJSEP,OK,3111,23/04/2026 08:20:44,23/04/2026 08:39:40
P28,Tailandia,TH0000294578,OK,ZMOVEINBHU,Packaging data was saved. Material document 7589694418 was created,ZMMTIJSEP,OK,3160,23/04/2026 08:20:49,23/04/2026 08:39:47
P28,Tailandia,TH0000294527,OK,ZMOVEINBHU,Packaging data was saved. Material document 7589694423 was created,ZMMTIJSEP,OK,3027,23/04/2026 08:20:56,23/04/2026 08:39:54
P28,Tailandia,TH0000294568,OK,ZMOVEINBHU,Packaging data was saved. Material document 7589694428 was created,ZMMTIJSEP,OK,3145,23/04/2026 08:20:58,23/04/2026 08:40:01
P28,Tailandia,TH0000294555,OK,ZMOVEINBHU,Packaging data was saved. Material document 7589695531 was created,ZMMTIJSEP,OK,3145,23/04/2026 08:20:59,23/04/2026 08:40:09
P29,Tailandia,TH0000294682,OK,ZMOVEINBHU,Packaging data was saved. Material document 7589695588 was created,ZMMTIJSEP,OK,3191,23/04/2026 08:21:15,23/04/2026 08:40:23
P29,Tailandia,TH0000294511,OK,ZMOVEINBHU,Packaging data was saved. Material document 7589695592 was created,ZMMTIJSEP,OK,3243,23/04/2026 08:21:17,23/04/2026 08:40:30
