Pallet,Origen,Código HU,Estado,F1,F1 msg,F2,F2 msg,F2 ms,Agregada,Procesada
P01,"ATL,",C1016561822,OK,ZMOVEINBHU,Packaging data was saved. Material document 7582448916 was created,ZMMTIJSEP,OK,3399,15/04/2026 16:31:49,15/04/2026 16:35:38
P02,"ATL,",C1016561819,Pendiente,ZMOVEINBHU,,ZMMTIJSEP,,,15/04/2026 16:32:53,
P03,"ATL,",C1016546394,Pendiente,ZMOVEINBHU,,ZMMTIJSEP,,,15/04/2026 16:32:56,
P04,"ATL,",C1016546391,Pendiente,ZMOVEINBHU,,ZMMTIJSEP,,,15/04/2026 16:32:59,
P05,"ATL,",C1016546393,Pendiente,ZMOVEINBHU,,ZMMTIJSEP,,,15/04/2026 16:33:05,
P06,"ATL,",C1016561821,Pendiente,ZMOVEINBHU,,ZMMTIJSEP,,,15/04/2026 16:33:35,
P07,"ATL,",C1016628089,Pendiente,ZMOVEINBHU,,ZMMTIJSEP,,,15/04/2026 16:33:38,
P08,"ATL,",C1016546392,Pendiente,ZMOVEINBHU,,ZMMTIJSEP,,,15/04/2026 16:33:57,
P09,"ATL,",C1016561820,Pendiente,ZMOVEINBHU,,ZMMTIJSEP,,,15/04/2026 16:34:00,
P10,"ATL,",C1016628087,Pendiente,ZMOVEINBHU,,ZMMTIJSEP,,,15/04/2026 16:34:03,
P11,"ATL,",C1016628086,Pendiente,ZMOVEINBHU,,ZMMTIJSEP,,,15/04/2026 16:34:36,
