Pallet;Origen;Código HU;Estado;F1 - Transacción;F1 - Resultado;F1 - Hora Inicio/Fin;F2 - Transacción;F2 - Resultado;F2 - Hora Inicio/Fin;F2 - Duración (ms);Agregada (Fecha y Hora);Procesada (Fecha y Hora)
P01;Atlanta;C1015537606;Pendiente;ZMOVEINBHU;;;ZMMTIJSEP;;;;27/03/2026 11:26:00;
P01;Desconocido;ELPS000083324;Pendiente;ZMOVEINBHU;;;ZMMTIJSEP;;;;27/03/2026 11:26:01;
