Pallet,Origen,Código HU,Estado,F1 - Transacción,F1 - Resultado,F1 - Hora Inicio/Fin,F2 - Transacción,F2 - Resultado,F2 - Hora Inicio/Fin,F2 - Duración (ms),Agregada (Fecha y Hora),Procesada (Fecha y Hora)
P01,Atlanta,C1015537606,Ya procesado,ZMOVEINBHU,Ya se hizo el Acknowledge,11:27:11,ZMMTIJSEP,OK,11:28:04,1001,27/03/2026 11:27:11,27/03/2026 11:28:04
P01,Desconocido,ELPS000083324,Ya procesado,ZMOVEINBHU,Ya se hizo el Acknowledge,11:27:12,ZMMTIJSEP,OK,11:28:18,5738,27/03/2026 11:27:12,27/03/2026 11:28:18
